





202002261|500|BPV|48|10|150000|2|0||
202002262|40|BVCC|2|48|17500|2|0||
202002263|3|BPV|10|2|170000|2|0||
202002264|17|BNC|10|6|662|2|0||
202002265|1000|TPG|52|32|360|2|0||
202002266|500|PTN|52|32|2700|2|0||
202002267|100|BPV|17|32|155000|2|0||
202002268|20|BPV|17|32|155000|2|0||
202002269|10|BPV|17|32|155000|2|0||
2020022610|3|RST.B|58|64|34000|2|0||
2020022611|10|BPV|17|64|155000|2|0||
2020022612|2|BPV|17|32|155000|2|0||
2020022613|100|BNC|17|64|690|2|0||
2020022614|100|FVI.B|32|64|585|2|0||
2020022615|500|BOU|22|64|21|2|0||
2020022616|1|BPV|17|12|155000|2|0||
2020022617|19|BPV|58|12|150005|2|0||
2020022618|1|RST.B|58|12|34000|2|0||
2020022619|50|MVZ.A|6|6|200000|2|3||
2020022620|50|MVZ.A|6|6|200000|2|3||
2020022621|5000|BVCC|58|10|19000|0|3||
2020022622|375|BNC|17|66|690|2|0||
2020022623|375|BNC|17|66|690|2|0||
2020022624|20|ENV|6|64|18250|2|0||
2020022625|4|ABC.A|6|66|44000|2|0||
2020022626|10|BVCC|60|66|19000|2|0||
2020022627|4|BVCC|1|64|18000|2|0||
2020022628|100|BVCC|1|12|17550.01|2|0||
2020022629|1000|BVCC|1|32|17550|2|0||
2020022630|100|BVCC|1|32|17550|2|0||
2020022631|200|BVCC|1|32|17550|2|0||
2020022632|3000|BVCC|1|64|17800|2|0||
2020022633|3000|BVCC|10|10|19000|0|3||
2020022634|5|SVS|64|6|10800|2|0||
2020022635|400|BOU|22|64|21|2|0||
2020022636|100|BNC|17|22|670|2|0||
2020022637|50|RST.B|58|48|32000|2|0||
2020022638|30|BPV|17|6|155000|2|0||
2020022639|140|BVCC|60|6|19000|2|0||
2020022640|5|BPV|17|10|155000|2|0||
2020022641|200|TDV.D|48|6|9598|2|0||
2020022642|73|FVI.B|64|52|560|2|0||
2020022643|80|RST.B|58|6|32000|2|0||
2020022644|5000|ENV|6|6|18000|2|3||
