





202003091|1978|PGR|10|4|1215|2|0||
202003092|235|ENV|34|4|17000|2|0||
202003093|120|TPG|6|2|450|2|0||
202003094|20|TDV.D|48|2|8999|2|0||
202003095|2000|FVI.B|58|4|560|2|0||
202003096|2400|FVI.B|58|4|560|2|0||
202003097|2000|FVI.B|58|4|560|2|0||
202003098|30|BPV|4|22|148000|2|0||
202003099|700|FVI.B|6|4|560|2|0||
2020030910|20|IVC|6|2|37000|2|0||
2020030911|6|BPV|4|22|148000|2|0||
2020030912|1000|PGR|32|4|1215|2|0||
2020030913|10|CCR|22|2|450000|2|0||
2020030914|14|BPV|4|22|148000|2|0||
2020030915|3300|FVI.B|6|2|560|2|0||
2020030916|25|ENV|34|6|17000|2|0||
2020030917|7|MVZ.B|2|4|162300|2|0||
2020030918|1000|FVI.B|6|6|560|2|0||
2020030919|25000|BOU|6|6|23.94|2|0||
2020030920|50|CRM.A|6|6|6000|2|3||
2020030921|4|ENV|34|32|17000|2|0||
2020030922|19|MVZ.B|6|4|162300|2|0||
2020030923|181|MVZ.B|58|64|162250|2|0||
2020030924|6200|BNC|52|4|645|2|0||
2020030925|2|CRM.A|52|10|6000|2|0||
2020030926|3|DOM|52|32|33000|2|0||
2020030927|322|PGR|22|4|1215|2|0||
2020030928|12|PGR|22|2|1215|2|0||
2020030929|10000|BOU|6|22|23.94|2|0||
2020030930|245|FVI.B|6|32|560|2|0||
2020030931|25|CGQ|6|32|46000|2|0||
2020030932|2|BVCC|33|64|17390|2|0||
2020030933|100|BVCC|32|32|17200|2|3||
2020030934|27|ENV|34|32|17000|2|0||
2020030935|1000|ENV|58|6|16500|2|0||
2020030936|100|SVS|6|32|13299|2|0||
2020030937|100|CIE|6|32|3050|2|0||
2020030938|120|BVL|48|32|2100|2|0||
2020030939|500|BVL|48|32|2100|2|0||
2020030940|301|FVI.A|32|32|700|2|0||
2020030941|95|CRM.A|6|32|6000|2|0||
2020030942|195|DOM|22|6|33000|2|0||
2020030943|1000|BOU|6|32|23.94|2|0||
2020030944|50|BNC|10|32|645|2|0||
2020030945|5|MPA|6|32|4900|2|0||
2020030946|9|CRM.A|6|32|6500|2|0||
2020030947|9|BPV|48|22|149500|2|0||
2020030948|219|BNC|10|32|645|2|0||
2020030949|4288|BOU|6|22|23.94|2|0||
2020030950|10|BVCC|32|32|17000|2|0||
2020030951|290|BVCC|32|48|17000|2|0||
2020030952|2000|TPG|48|32|400|2|0||
2020030953|500|RST|4|6|39000|2|0||
2020030954|500|ENV|2|6|16500|2|0||
2020030955|320|TPG|48|64|400|2|0||
2020030956|7|BVCC|32|64|17200|2|0||
2020030957|20|RST|10|10|39000.01|2|0||
2020030958|246|RST|10|6|39000|2|0||
2020030959|246|RST|10|58|39000.01|2|0||
2020030960|254|RST|10|58|39000.01|2|0||
2020030961|250|RST|1|58|39000.01|2|0||
2020030962|5|CRM.A|6|32|6000|2|0||
2020030963|375|CRM.A|6|32|6000|2|0||
2020030964|5000|ENV|34|6|16500|2|0||
2020030965|204|FVI.A|32|32|700|2|0||
2020030966|4000|ENV|34|6|16500|2|0||
2020030967|500|BVCC|32|1|17200|2|0||
2020030968|2|MVZ.B|10|32|162250|2|0||
2020030969|300|MVZ.A|6|6|175000|0|3||
2020030970|500|FVI.A|32|6|700|2|0||
2020030971|4305|DOM|4|6|33000|2|0||
2020030972|4500|DOM|4|6|33000|2|0||
2020030973|3000|DOM|4|6|33000|2|0||
2020030974|100|RST|12|6|39015|2|0||
2020030975|3|ENV|52|32|16510|2|0||
2020030976|1130|ENV|52|6|16500|2|0||
2020030977|370|ENV|52|6|16500|2|0||
2020030978|2|BVCC|32|32|17200|2|3||
2020030979|32|BNC|12|64|644|2|0||
2020030980|485|FVI.B|6|64|559|2|0||
2020030981|1015|FVI.B|6|17|559|2|0||
2020030982|8494|FVI.B|6|17|560|2|0||
2020030983|1723|FVI.B|6|17|560|2|0||
2020030984|120|FVI.B|6|32|560|2|0||
2020030985|145|FVI.B|12|32|558|2|0||
2020030986|38|FVI.B|12|64|558|2|0||
2020030987|87|FVI.B|12|32|558|2|0||
2020030988|1|MVZ.A|12|34|168000|2|0||
2020030989|1000|FVI.B|12|32|558|2|0||
2020030990|410|FVI.B|12|32|558|2|0||
2020030991|1000|MVZ.B|6|4|150000|2|0||
2020030992|1536|MVZ.B|6|4|150000|2|0||
2020030993|700|FVI.B|12|22|558|2|0||
2020030994|64|MVZ.B|6|10|150000|2|0||
2020030995|26|MVZ.B|10|10|150000|2|0||
2020030996|10|ENV|12|32|16000|2|0||
2020030997|325|BVCC|32|32|17200|2|3||
2020030998|4|BVCC|32|1|17200|2|0||
2020030999|2|MVZ.A|10|34|168000|2|0||
20200309100|16|MVZ.B|6|10|150000|2|0||
20200309101|38|BPV|17|17|149499.99|2|0||
20200309102|1|ENV|12|1|16000|2|0||
20200309103|1|MVZ.B|58|32|162300|2|0||
20200309104|34|BVCC|32|22|17200|2|0||
20200309105|147|FVI.B|22|32|557.95|2|0||
20200309106|1|BVCC|32|10|17200|2|0||
20200309107|7|FVI.B|22|10|557.95|2|0||
20200309108|2|MVZ.B|58|32|162300|2|0||
20200309109|280|FVI.B|22|32|557.95|2|0||
20200309110|80|BVCC|32|6|17200|2|0||
20200309111|35|MVZ.B|6|22|150001|2|0||
20200309112|40|MVZ.B|6|10|150000|2|0||
20200309113|103|RST|32|6|39015|2|0||
20200309114|15|BNC|6|1|643|2|0||
20200309115|122|BVCC|32|32|17200|2|3||
20200309116|40|RST|32|6|39015|2|0||
20200309117|25055|BVCC|10|10|20220.9|0|3||
20200309118|25055|BVCC|10|10|22600|30|3||
20200309119|29|BVCC|32|32|17200|2|3||
20200309120|262|RST.B|70|70|28025.95|3|3||
20200309121|4621|BVCC|10|10|20181.5|0|3||
20200309122|170|BOU|22|22|23.9|2|0||
20200309123|11|RST|52|6|39015|2|0||
20200309124|31|RST|52|58|39015|2|0||
20200309125|4621|BVCC|10|10|22600|22|3||
20200309126|100|RST|52|58|39015|2|0||
20200309127|4|RST.B|52|33|30000|2|0||
20200309128|9|CRM.A|52|32|6000|2|0||
20200309129|24|RST|32|58|39015|2|0||
20200309130|49|BVCC|32|32|17200|2|3||
20200309131|7800|BOU|22|32|23.9|2|0||
20200309132|5|RST|32|58|39015|2|0||
20200309133|10|BVCC|32|32|17200|2|3||
20200309134|136|BNC|32|32|605|2|0||
20200309135|400|CRM.A|2|6|5100|2|0||
20200309136|80|ENV|12|2|16000|2|0||
20200309137|931|BOU|22|64|23.9|2|0||
20200309138|40|FVI.B|22|48|557.95|2|0||
20200309139|28|TPG|48|48|400|2|0||
20200309140|2500|FVI.B|2|32|500|2|0||
20200309141|9|MVZ.A|10|22|150000|2|0||
20200309142|2|BPV|17|6|149499.99|2|0||
20200309143|200|BNC|6|6|640|2|3||
20200309144|5|RST.B|52|6|30000|2|0||
20200309145|5|RST|52|64|39300|2|0||
20200309146|5|MVZ.A|6|6|150000|2|3||
20200309147|50|MVZ.A|6|6|150000|2|3||
20200309148|40|MVZ.A|6|6|150000|2|3||
20200309149|5|MVZ.A|6|6|150000|2|3||
20200309150|2|MVZ.A|6|6|150000|2|3||
20200309151|296|FVI.A|32|6|700|2|0||
20200309152|13000|BVCC|32|10|17000|1|3||
20200309153|12000|BVCC|32|10|17000|1|3||
20200309154|3000|BVCC|34|10|17000|0|3||
20200309155|105|RST|10|58|39015|2|0||
20200309156|300|RST|10|6|39015|2|0||
20200309157|6|MVZ.A|6|22|150000|2|0||
20200309158|62|MVZ.A|6|10|150000|2|0||
20200309159|265|RST|10|58|39015|2|0||
20200309160|45|BNC|12|33|610|2|0||
20200309161|523|BNC|12|32|610|2|0||
20200309162|57911|BVCC|10|10|18844.7|0|3||
20200309163|20|RST|32|58|39015|2|0||
20200309164|4|BPV|17|32|149499.99|2|0||
20200309165|57911|BVCC|10|10|21700.15|40|3||
20200309166|4|ENV|12|32|16000|2|0||
20200309167|2|ENV|48|32|16000|2|0||
20200309168|11|CRM.A|52|6|6000|2|0||
20200309169|10|IVC|6|22|37000|2|0||
20200309170|20|RST|2|58|39015|2|0||
20200309171|3|MVZ.B|22|32|162000|2|0||
20200309172|35|BNC|58|48|635|2|0||
20200309173|225|RST|2|58|39015|2|0||
20200309174|175|RST|2|58|39015|2|0||
20200309175|14|BVCC|52|6|17199|2|0||
20200309176|3|MVZ.B|22|33|162000|2|0||
20200309177|200|BVCC|60|10|17000|0|3||
